Energy (MeV),# Pixel
1.98524813359642,1130
1.98210970818888,1131
1.97897873452398,1132
1.97585518902959,1133
1.97273904822666,1134
1.96963028872902,1135
1.96652888724251,1136
1.96343482056492,1137
1.96034806558542,1138
1.9572685992841,1139
1.95419639873152,1140
1.95113144108835,1141
1.94807370360503,1142
1.94502316362126,1143
1.94197979856543,1144
1.93894358595439,1145
1.9359145033932,1146
1.93289252857417,1147
1.92987763927695,1148
1.926869813368,1149
1.92386902880007,1150
1.92087526361183,1151
1.91788849592763,1152
1.91490870395684,1153
1.91193586599357,1154
1.90896996041644,1155
1.90601096568789,1156
1.90305886035396,1157
1.90011362304381,1158
1.89717523246966,1159
1.89424366742595,1160
1.89131890678914,1161
1.88840092951743,1162
1.88548971465022,1163
1.88258524130796,1164
1.87968748869145,1165
1.87679643608158,1166
1.87391206283939,1167
1.87103434840485,1168
1.86816327229734,1169
1.86529881411473,1170
1.86244095353336,1171
1.85958967030728,1172
1.85674494426841,1173
1.85390675532571,1174
1.85107508346506,1175
1.84824990874901,1176
1.84543121131615,1177
1.84261897138101,1178
1.83981316923361,1179
1.83701378523903,1180
1.83422079983721,1181
1.83143419354255,1182
1.82865394694359,1183
1.82588004070251,1184
1.82311245555509,1185
1.8203511723102,1186
1.81759617184931,1187
1.81484743512666,1188
1.81210494316828,1189
1.80936867707226,1190
1.80663861800787,1191
1.8039147472157,1192
1.80119704600712,1193
1.79848549576396,1194
1.79578007793832,1195
1.79308077405208,1196
1.79038756569681,1197
1.78770043453307,1198
1.78501936229054,1199
1.78234433076742,1200
1.77967532183023,1201
1.77701231741351,1202
1.77435529951944,1203
1.77170425021753,1204
1.76905915164456,1205
1.76641998600383,1206
1.76378673556542,1207
1.76115938266523,1208
1.75853790970544,1209
1.75592229915349,1210
1.75331253354219,1211
1.75070859546944,1212
1.74811046759782,1213
1.74551813265439,1214
1.74293157343031,1215
1.74035077278058,1216
1.73777571362379,1217
1.73520637894187,1218
1.73264275177965,1219
1.73008481524472,1220
1.72753255250715,1221
1.72498594679924,1222
1.72244498141503,1223
1.71990963971028,1224
1.7173799051021,1225
1.71485576106864,1226
1.71233719114898,1227
1.70982417894248,1228
1.70731670810915,1229
1.70481476236857,1230
1.70231832550032,1231
1.69982738134347,1232
1.69734191379626,1233
1.69486190681585,1234
1.69238734441825,1235
1.68991821067777,1236
1.68745448972697,1237
1.68499616575628,1238
1.68254322301389,1239
1.68009564580533,1240
1.67765341849345,1241
1.67521652549782,1242
1.67278495129483,1243
1.67035868041731,1244
1.66793769745417,1245
1.66552198705029,1246
1.66311153390629,1247
1.66070632277822,1248
1.65830633847736,1249
1.65591156586993,1250
1.65352198987678,1251
1.65113759547344,1252
1.64875836768957,1253
1.64638429160899,1254
1.64401535236922,1255
1.64165153516138,1256
1.63929282522987,1257
1.63693920787217,1258
1.63459066843872,1259
1.63224719233259,1260
1.62990876500914,1261
1.62757537197604,1262
1.62524699879284,1263
1.62292363107095,1264
1.62060525447313,1265
1.61829185471356,1266
1.61598341755744,1267
1.61367992882087,1268
1.61138137437057,1269
1.60908774012362,1270
1.60679901204742,1271
1.60451517615917,1272
1.60223621852605,1273
1.5999621252647,1274
1.59769288254114,1275
1.59542847657059,1276
1.59316889361714,1277
1.59091411999367,1278
1.58866414206143,1279
1.58641894623022,1280
1.58417851895773,1281
1.58194284674963,1282
1.57971191615935,1283
1.57748571378772,1284
1.57526422628294,1285
1.57304744034028,1286
1.57083534270183,1287
1.56862792015659,1288
1.5664251595398,1289
1.56422704773317,1290
1.5620335716645,1291
1.55984471830747,1292
1.55766047468155,1293
1.55548082785152,1294
1.5533057649278,1295
1.55113527306571,1296
1.54896933946572,1297
1.54680795137292,1298
1.54465109607712,1299
1.54249876091247,1300
1.54035093325724,1301
1.53820760053388,1302
1.53606875020861,1303
1.53393436979124,1304
1.53180444683514,1305
1.52967896893699,1306
1.52755792373648,1307
1.52544129891631,1308
1.52332908220187,1309
1.52122126136125,1310
1.51911782420481,1311
1.51701875858519,1312
1.51492405239707,1313
1.51283369357695,1314
1.51074767010311,1315
1.50866596999541,1316
1.50658858131482,1317
1.50451549216369,1318
1.50244669068533,1319
1.5003821650639,1320
1.49832190352426,1321
1.49626589433173,1322
1.49421412579204,1323
1.49216658625097,1324
1.49012326409447,1325
1.48808414774826,1326
1.48604922567765,1327
1.48401848638755,1328
1.48199191842233,1329
1.4799695103653,1330
1.47795125083902,1331
1.47593712850478,1332
1.47392713206271,1333
1.47192125025137,1334
1.46991947184782,1335
1.46792178566724,1336
1.465928180563,1337
1.46393864542636,1338
1.46195316918631,1339
1.45997174080954,1340
1.45799434930021,1341
1.45602098369957,1342
1.45405163308633,1343
1.45208628657596,1344
1.45012493332099,1345
1.4481675625106,1346
1.44621416337044,1347
1.44426472516267,1348
1.44231923718571,1349
1.44037768877409,1350
1.43844006929829,1351
1.43650636816457,1352
1.434576574815,1353
1.43265067872707,1354
1.43072866941366,1355
1.42881053642304,1356
1.42689626933846,1357
1.42498585777812,1358
1.42307929139515,1359
1.4211765598773,1360
1.41927765294686,1361
1.41738256036055,1362
1.41549127190939,1363
1.41360377741842,1364
1.41172006674686,1365
