,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_poly__degree,param_ridge__alpha,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
18,0.8449519475301107,0.012283535169286972,0.2967376708984375,0.009357893672397713,3,10.0,"{'poly__degree': 3, 'ridge__alpha': 10.0}",-0.005969882011413574,-0.00595017010346055,-0.005926626268774271,-0.005948892794549465,1.7682165334222344e-05,46
19,0.8614919980367025,0.011576675215672351,0.2967682679494222,0.013678719256623133,3,100.0,"{'poly__degree': 3, 'ridge__alpha': 100.0}",-0.006573033984750509,-0.006551546510308981,-0.006515342276543379,-0.006546640923867623,2.380660808423292e-05,47
20,0.8795376618703207,0.01457731569757174,0.3009508450826009,0.007705659909393425,3,1000.0,"{'poly__degree': 3, 'ridge__alpha': 1000.0}",-0.00828420277684927,-0.008266045711934566,-0.00820905715227127,-0.008253101880351702,3.201430206786293e-05,49
21,1.7431011199951172,0.027310377965697148,0.6105161507924398,0.004083085689371951,4,0.001,"{'poly__degree': 4, 'ridge__alpha': 0.001}",-0.0035035412292927504,-0.003487883135676384,-0.0034857504069805145,-0.003492391590649883,7.931917142046549e-06,29
22,1.7317606608072917,0.03428842402232464,0.6119270324707031,0.005890211065749615,4,0.01,"{'poly__degree': 4, 'ridge__alpha': 0.01}",-0.003503849497064948,-0.0034879909362643957,-0.003485650522634387,-0.0034924969853212437,8.084100698617985e-06,30
23,1.8008339405059814,0.0038624899215012696,0.6280936400095621,0.0019417480582255011,4,0.09999999999999999,"{'poly__degree': 4, 'ridge__alpha': 0.09999999999999999}",-0.0035075184423476458,-0.0034906163346022367,-0.0034845955669879913,-0.0034942434479792914,9.703316178024533e-06,31
24,1.7941428025563557,0.025461357336964252,0.6289790471394857,0.004917823859741097,4,1.0,"{'poly__degree': 4, 'ridge__alpha': 1.0}",-0.0036014188081026077,-0.0035826973617076874,-0.003561262972652912,-0.0035817930474877357,1.64060175610874e-05,32
25,1.8113315900166829,0.0049299339645193984,0.6308921972910563,0.003599536320634516,4,10.0,"{'poly__degree': 4, 'ridge__alpha': 10.0}",-0.004481926094740629,-0.004463862162083387,-0.0044444650411605835,-0.004463417765994866,1.529663905883431e-05,36
26,1.769459327061971,0.031528583066224684,0.644383986790975,0.002697271926752933,4,100.0,"{'poly__degree': 4, 'ridge__alpha': 100.0}",-0.0054721408523619175,-0.0054512531496584415,-0.0054307300597429276,-0.005451374687254429,1.69061037276221e-05,40
27,1.8284719785054524,0.006270585466573883,0.6543012460072836,0.0038553942486307204,4,1000.0,"{'poly__degree': 4, 'ridge__alpha': 1000.0}",-0.006647073198109865,-0.0066266488283872604,-0.006586348172277212,-0.006620023399591446,2.5229670636513152e-05,48
